epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.986,0.93163,2.1187,1.10219,0.4985,0.35176,0.30923,0.24437,1.00402,2.06687,1.18443,0.000332837,0.000332837,0.0670491
2,200.268,0.90008,1.75723,1.10177,0.41048,0.39455,0.38463,0.30391,0.97509,1.81155,1.15302,0.000655179,0.000655179,0.0340381
3,293.738,0.86242,1.64382,1.08551,0.61063,0.38899,0.3959,0.31671,0.95297,1.84271,1.14386,0.00096652,0.00096652,0.00101612
4,387.376,0.86008,1.60256,1.09072,0.64432,0.39908,0.42142,0.34049,0.95316,1.84082,1.13361,0.0009505,0.0009505,0.0009505
5,481.861,0.83438,1.54081,1.07444,0.63455,0.42624,0.44917,0.36679,0.90505,1.63343,1.10683,0.000934,0.000934,0.000934
6,576.598,0.82297,1.49217,1.07129,0.66009,0.43132,0.46418,0.38186,0.8891,1.59274,1.09135,0.0009175,0.0009175,0.0009175
7,672.479,0.81741,1.47131,1.06764,0.67858,0.44138,0.47453,0.39334,0.87068,1.57641,1.08688,0.000901,0.000901,0.000901
8,769.022,0.79948,1.43677,1.05979,0.70169,0.43951,0.48715,0.40483,0.86347,1.70786,1.08936,0.0008845,0.0008845,0.0008845
9,864.705,0.79009,1.40039,1.05128,0.69375,0.44737,0.49057,0.40641,0.86508,1.50358,1.08882,0.000868,0.000868,0.000868
10,958.912,0.77972,1.38055,1.05145,0.70296,0.44974,0.5011,0.4205,0.84146,1.46303,1.06878,0.0008515,0.0008515,0.0008515
11,1053.86,0.76838,1.37181,1.04837,0.71941,0.45171,0.5083,0.42703,0.83167,1.43878,1.07841,0.000835,0.000835,0.000835
12,1148.28,0.77184,1.35889,1.04945,0.69825,0.45638,0.49854,0.41599,0.84297,1.52793,1.07531,0.0008185,0.0008185,0.0008185
13,1241.85,0.76449,1.33534,1.04552,0.69493,0.47937,0.51559,0.43449,0.82255,1.41452,1.07056,0.000802,0.000802,0.000802
14,1334.95,0.75495,1.30569,1.03803,0.76137,0.4676,0.54134,0.45856,0.80821,1.36549,1.05617,0.0007855,0.0007855,0.0007855
15,1428.92,0.75073,1.29413,1.03674,0.74873,0.47048,0.54067,0.45634,0.80891,1.39511,1.05046,0.000769,0.000769,0.000769
16,1522.5,0.7526,1.28622,1.034,0.75675,0.48634,0.55001,0.46448,0.80033,1.34683,1.05107,0.0007525,0.0007525,0.0007525
17,1614.56,0.74307,1.27963,1.03542,0.75545,0.48852,0.55544,0.46907,0.80013,1.33129,1.04401,0.000736,0.000736,0.000736
18,1705.23,0.7341,1.24685,1.02862,0.78155,0.48522,0.56215,0.47352,0.80092,1.31022,1.04962,0.0007195,0.0007195,0.0007195
