epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,220.63,0.85171,2.19583,1.78894,1.06923,0,0.42403,0.36147,0.34129,0.26606,0.41277,0.34391,0.31933,0.21842,0.99336,2.6033,2.04787,1.15478,0,0.000332837,0.000332837,0.0670491
2,428.576,0.87257,2.15995,1.63699,1.08788,0,0.43102,0.37596,0.37648,0.30135,0.42083,0.35722,0.34983,0.23854,0.97452,2.495,1.81754,1.13237,0,0.000659576,0.000659576,0.0340425
3,629.289,0.84431,2.05739,1.56435,1.07424,0,0.6373,0.38242,0.40773,0.32806,0.63163,0.36755,0.38313,0.27512,0.96461,2.25297,1.75417,1.14396,0,0.000979714,0.000979714,0.00102932
4,829.923,0.83432,2.07601,1.54313,1.07359,0,0.60165,0.40387,0.40305,0.32644,0.59017,0.38678,0.37793,0.27308,0.94278,2.18252,1.76474,1.12912,0,0.0009703,0.0009703,0.0009703
5,1031.67,0.80467,2.013,1.48809,1.05837,0,0.63445,0.42291,0.44181,0.35878,0.62127,0.41029,0.41883,0.2998,0.89633,2.15128,1.65404,1.09385,0,0.0009604,0.0009604,0.0009604
6,1234.43,0.79337,1.96911,1.43561,1.0536,0,0.68701,0.43726,0.47942,0.39454,0.67525,0.42098,0.45208,0.32656,0.87678,2.09083,1.56071,1.08539,0,0.0009505,0.0009505,0.0009505
7,1438.44,0.78294,1.94032,1.40401,1.04827,0,0.67619,0.43582,0.46382,0.38456,0.6676,0.42248,0.44176,0.32735,0.88386,2.09215,1.58618,1.08464,0,0.0009406,0.0009406,0.0009406
8,1641.67,0.76076,1.91182,1.37611,1.03775,0,0.68546,0.44207,0.49052,0.40689,0.69077,0.42026,0.46441,0.33958,0.85769,2.03376,1.65649,1.08169,0,0.0009307,0.0009307,0.0009307
9,1844.6,0.75397,1.90065,1.33326,1.03047,0,0.6762,0.44019,0.47028,0.38815,0.66892,0.42343,0.44268,0.32079,0.8688,2.09294,1.528,1.07165,0,0.0009208,0.0009208,0.0009208
10,2046.48,0.73948,1.87072,1.31894,1.02625,0,0.71284,0.46265,0.51681,0.43269,0.71062,0.44598,0.49313,0.36461,0.83719,1.98479,1.409,1.05501,0,0.0009109,0.0009109,0.0009109
11,2249.29,0.72917,1.83907,1.30545,1.02152,0,0.70026,0.46194,0.51302,0.43395,0.69596,0.44257,0.48739,0.36023,0.80897,1.97165,1.46031,1.04873,0,0.000901,0.000901,0.000901
12,2451.76,0.73008,1.85639,1.28384,1.02714,0,0.72751,0.46418,0.51816,0.43244,0.72246,0.44684,0.49348,0.36138,0.81184,1.95146,1.41703,1.0474,0,0.0008911,0.0008911,0.0008911
13,2654.65,0.71878,1.82943,1.26336,1.01592,0,0.73564,0.47136,0.53377,0.45395,0.73977,0.45731,0.51106,0.38204,0.79276,1.94954,1.37778,1.0463,0,0.0008812,0.0008812,0.0008812
14,2857.5,0.71145,1.79225,1.23545,1.01041,0,0.7426,0.49295,0.55164,0.46869,0.73898,0.47037,0.52549,0.38971,0.78687,1.93049,1.35875,1.03213,0,0.0008713,0.0008713,0.0008713
15,3058.93,0.70373,1.79354,1.22873,1.01217,0,0.74936,0.4981,0.55921,0.47339,0.74466,0.47471,0.53115,0.39455,0.78238,1.90502,1.31677,1.03585,0,0.0008614,0.0008614,0.0008614
16,3261.09,0.70678,1.78917,1.21887,1.00801,0,0.76918,0.48584,0.56131,0.47887,0.76,0.47205,0.53463,0.40055,0.7739,1.87842,1.28634,1.02522,0,0.0008515,0.0008515,0.0008515
